Track name, Artist name, Album, Playlist name, Type
オリビアを聴きながら,Anri,ザ・杏里,Library Songs,Favorite
20 Times You,Chen Li,如也,Library Songs,Favorite
'Til I Fell In Love With You,Bob Dylan,Time Out of Mind,Library Songs,Favorite
ZOEA,anpu,ZOEA - Single,Library Songs,Favorite
You and the Night and the Music,Julie London,The Very Best of Julie London,Library Songs,Favorite
You & Me,Kengo Kurozumi,Pillow Talk,Library Songs,Favorite
Yoru Ga Akeruyo,supercell,Today Is a Beautiful Day,Library Songs,Favorite
"Yasashii Suisei - Comet (From ""Beastars S2"") [feat. Jonatan King]",Akano,"Yasashii Suisei - Comet (From ""Beastars S2"") [feat. Jonatan King] - Single",Library Songs,Favorite
Yakanhikou,Yoshitaka Minami,SOUTH OF THE BORDER,Library Songs,Favorite
Wonderland Yuuyami City,Atsuko Nina,Him,Library Songs,Favorite
Woman Like Me,Adele,30,Library Songs,Favorite
Woke,G.E.M.,Fearless,Library Songs,Favorite
Wind in the Rye,Li Jian,Wind in the Rye - Single,Library Songs,Favorite
Wild Side (feat. Lil C),Will Ali,Smile,Library Songs,Favorite
Who I Am,milet,Who I Am - EP,Library Songs,Favorite
Who I Am,milet,visions,Library Songs,Favorite
When We Were Young,Adele,25,Library Songs,Favorite
Water Under the Bridge,Adele,25,Library Songs,Favorite
Watashitachi o Shinjite Ite,Cindy,Angel Touch,Library Songs,Favorite
Watashihe,supercell,Today Is a Beautiful Day,Library Songs,Favorite
Wasted Summer Love (2020 Remastered),Hamada Kingo,Mugshot (2020 Remastered),Library Songs,Favorite
Waste of Time,9m88,This Temporary Ensemble - EP,Library Songs,Favorite
Waltz for Zizi,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Wake Me Up,milet,visions,Library Songs,Favorite
Voyage,Ryo Fukui,My Favorite Tune,Library Songs,Favorite
Utakata Hanabi,supercell,Today Is a Beautiful Day,Library Songs,Favorite
Twilight Bay City,Sugiyama Kiyotaka & Omega Tribe,NEVER ENDING SUMMER,Library Songs,Favorite
Turning Tables,Adele,21,Library Songs,Favorite
Tsukigasasuyoru,Kaze,Kaze Complete Best,Library Songs,Favorite
Trying to Get to Heaven,Bob Dylan,Time Out of Mind,Library Songs,Favorite
Trust,Kazuhito Murata,Evergreen,Library Songs,Favorite
Triste,Deserts Chang,神的遊戲,Library Songs,Favorite
Too Good Too Bad,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Tomodachi,Hikaru Utada,Fantôme,Library Songs,Favorite
Tom and Cindy Fall In Love,James L. Venable,Scary Movie 4 (Original Motion Picture Soundtrack),Library Songs,Favorite
Tokyo Victory,Southern All Stars,Tokyo Victory - Single,Library Songs,Favorite
Tokio,沢田研二,Tokio - Single,Library Songs,Favorite
To Trinity (Interlude),Janice Vidal,In His Name,Library Songs,Favorite
To Be Loved,Adele,30,Library Songs,Favorite
The Time Takes You Away,JADOES,Free Drink,Library Songs,Favorite
This Flight Tonight,Joni Mitchell,Blue,Library Songs,Favorite
Tank!,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Tameikiirono Tapestry,Yumi Tanimura,Believe In,Library Songs,Favorite
"Take Me Home, Country Roads (Original Version)",John Denver,"Poems, Prayers & Promises",Library Songs,Favorite
Take It All,Adele,21,Library Songs,Favorite
Sweetest Devotion,Adele,25,Library Songs,Favorite
Surprise,Cindy,Angel Touch,Library Songs,Favorite
Sun Song '70s,Yoshinori Sunahara,Pan Am the Sound of 70's,Library Songs,Favorite
Summer Blue,Bread & Butter,Summer Blue - Single,Library Songs,Favorite
Strength & Shield,Janice Vidal,In His Name,Library Songs,Favorite
Strangers By Nature,Adele,30,Library Songs,Favorite
A Strange Boy,Joni Mitchell,Hejira,Library Songs,Favorite
Stardust Night,JADOES,Free Drink,Library Songs,Favorite
Standing In the Doorway,Bob Dylan,Time Out of Mind,Library Songs,Favorite
Squall,Masaharu Fukuyama,Heaven / Squall - EP,Library Songs,Favorite
Spokey Dokey,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Space Lion,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Sounds Of Love,Yasuko Agawa,Flyin' Over,Library Songs,Favorite
Song for Sharon,Joni Mitchell,Hejira,Library Songs,Favorite
Someone Like You,Adele,21,Library Songs,Favorite
So Wrong,Joyce Cheng,The Voice of Love,Library Songs,Favorite
So Nice - Kousokudouro (Live Version),So Nice,Love,Library Songs,Favorite
SHOCK,Kenji Ohmura,KENJI SHOCK,Library Songs,Favorite
Shed a light,milet,visions,Library Songs,Favorite
Shameless,Rae Xie,Itself,Library Songs,Favorite
SEVENTH HEAVEN,milet,visions,Library Songs,Favorite
Setunakute,Cindy,Angel Touch,Library Songs,Favorite
Set Fire to the Rain,Adele,21,Library Songs,Favorite
September Rain (2018 Remaster),Makoto Matsushita,First Light (2018 Remaster),Library Songs,Favorite
Send My Love (To Your New Lover),Adele,25,Library Songs,Favorite
The Season of Us,L.N Party,無盡美麗的事物,Library Songs,Favorite
Scenery,Ryo Fukui,My Favorite Tune,Library Songs,Favorite
Sayonara Memories,supercell,Today Is a Beautiful Day,Library Songs,Favorite
Sakura Nagashi,Hikaru Utada,Fantôme,Library Songs,Favorite
Saikai (produced by Ayase),LiSA & Uru,Saikai (produced by Ayase) - Single,Library Songs,Favorite
Rush,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),Library Songs,Favorite
Rumour Has It,Adele,21,Library Songs,Favorite
Rose Color,Cindy,Don't Be Afraid,Library Songs,Favorite
Rolling in the Deep,Adele,21,Library Songs,Favorite
Rock 'n' Roll Nandesuno,supercell,Today Is a Beautiful Day,Library Songs,Favorite
River Of Crystals,Kimiko Itoh,Ghost In The Shell Superb Music,Library Songs,Favorite
River Lea,Adele,25,Library Songs,Favorite
River,Joni Mitchell,Blue,Library Songs,Favorite
Remedy,Adele,25,Library Songs,Favorite
Refuge of the Roads,Joni Mitchell,Hejira,Library Songs,Favorite
